NC_conties,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Onslow,"186,892","184,993","190,678","192,354","191,822","193,114","192,314","195,066","196,915","197,938"
Orange,"133,981","134,825","137,817","139,397","140,321","141,298","142,800","143,626","147,980","148,476"
Pamlico,"13,109","13,244","13,019","12,880","12,872","12,741","12,765","12,638","12,633","12,726"
Pasquotank,"40,626","40,266","40,378","39,548","39,436","39,384","39,392","39,386","39,583","39,824"
Pender,"52,415","53,175","53,714","54,779","55,900","57,426","58,771","60,719","62,017","63,060"
Perquimans,"13,480","13,498","13,587","13,634","13,538","13,463","13,402","13,439","13,381","13,463"
Person,"39,411","39,520","39,175","39,239","39,114","39,190","39,270","39,338","39,436","39,490"
Pitt County,"168,863","170,791","172,980","174,380","174,974","176,071","177,171","178,607","179,575","180,742"
Polk County,"20,475","20,288","20,249","20,388","20,367","20,414","20,414","20,564","20,668","20,724"
Randolph,"141,985","141,858","142,270","142,308","142,474","142,575","143,062","143,037","143,249","143,667"
Richmond,"46,635","46,651","46,359","46,133","45,771","45,429","45,012","44,827","44,888","44,829"
Robeson,"134,493","135,183","135,462","135,136","134,931","134,460","133,383","132,626","131,884","130,625"
Rockingham,"93,661","93,284","92,691","91,896","91,790","91,657","91,308","90,791","90,617","91,010"
Rowan,"138,331","137,805","137,511","137,690","138,080","138,497","139,410","140,356","141,128","142,088"
Rutherford,"67,740","67,416","67,215","66,847","66,561","66,375","66,286","66,529","66,775","67,029"
Sampson,"63,532","63,514","63,708","63,898","63,796","63,559","63,225","63,263","63,345","63,531"
Scotland,"36,062","36,275","36,093","35,911","35,656","35,321","35,309","35,174","34,751","34,823"
Stanly,"60,579","60,530","60,462","60,633","60,618","60,622","60,826","61,505","62,180","62,806"
Stokes,"47,344","47,142","46,731","46,514","46,323","46,159","45,920","45,724","45,511","45,591"
Surry,"73,775","73,496","73,295","72,643","72,487","71,998","72,008","72,107","71,959","71,783"
Swain,"14,006","14,007","14,053","13,977","14,238","14,326","14,190","14,263","14,249","14,271"
Transylvania,"33,085","32,807","32,835","32,827","32,952","33,157","33,393","33,767","34,173","34,385"
Tyrrell,"4,415","4,337","4,122","4,104","4,120","4,139","4,024","4,180","4,115","4,016"
Union,"202,109","204,888","208,069","212,200","217,689","221,949","226,279","231,350","235,830","239,859"
Vance,"45,289","45,288","45,093","44,491","44,517","44,459","44,485","44,281","44,635","44,535"
Wake,"906,870","928,787","952,060","974,198","997,788","1,022,319","1,048,335","1,071,706","1,091,273","1,111,761"
warren,"20,987","20,998","20,764","20,600","20,385","20,207","19,884","19,849","19,819","19,731"
Washington,"13,119","12,904","12,662","12,669","12,476","12,247","12,070","11,944","11,769","11,580"
Watauga,"50,972","51,626","52,062","52,295","52,395","53,093","54,140","55,181","56,034","56,177"
Wayne,"122,886","124,038","124,559","124,587","124,586","124,342","124,269","123,034","123,237","123,131"
Wilkes ,"69,264","68,948","68,906","68,609","68,414","68,298","68,581","68,489","68,563","68,412"
Wilson ,"81,294","81,155","81,396","81,189","81,007","81,240","81,307","81,436","81,392","81,801"
adkin ,"38,433","38,342","38,144","38,063","37,846","37,619","37,653","37,588","37,481","37,667"
Yancey ,"17,805","17,690","17,624","17,549","17,542","17,550","17,610","17,697","17,873","18,069"
